Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT2,45090.0,1e-08,91325.0,90475.0,90000.0,22999.0,10000000000.0
FUT3,45090.0,87.175,87.85,85.85,87.425,0.0,0.0
FUT4,45090.0,77.55,78.325,76.7,78.3,10917.0,37248.0
FUT5,45090.0,-281.0425475587746,75.55,73.6,75.275,7607.0,25055.0
FUT6,45090.0,8032.5,8130.0,7945.0,8097.499999999999,2496.0,16933.0
FUT7,45090.0,85.375,86.275,84.65,86.0,750.0,5024.0
FUT8,45090.0,8990.0,9042.5,8952.5,9020.0,43.0,129.0
FUT9,45090.0,95.35,96.05,95.0,1e-08,130.0,890.0
FUT1,45091.0,87.325,87.45,87.2,87.05,1653.0,12291.0
FUT10,45091.0,96.1,96.25,95.95,-3398.8151178285602,41.0,296.0
FUT11,45091.0,-2713.96065728735,94.825,-385.7857976409695,-24405879009.75861,37.0,1e-08
FUT12,45091.0,82750000.0,3366322824.2271056,-10745560320.17761,-187115969.56682518,2.0,15.0
FUT2,45091.0,91025.0,93500.0,91025.0,93000.0,18885.0,35116.0
FUT3,45091.0,90.55,87.975,87.975,89.9,20531.0,75542.0
FUT4,45091.0,78.8,80.375,78.7,79.95,8273.0,37553.0
FUT5,45091.0,75.675,76.775,75.525,76.375,5708.0,25311.0
FUT6,45091.0,8132.5,8200.0,8120.0,8159.999999999999,3386.0,16808.0
FUT7,45091.0,86.425,86.925,86.225,86.425,1594.0,465605.6235879225
FUT8,45091.0,8990.0,9080.0,-23694.9747575935,9045.0,21.0,135.0
FUT9,45091.0,95.775,96.55,96.275,95.775,636.0,1107.0
FUT1,45092.0,92.5,94.3,91.175,91.925,20461.0,32814.0
FUT10,45092.0,95.0,95.0,95.0,95.0,1.0,219.0
FUT11,45092.0,83.35,1e-08,83.35,83.35,1.0,1e-08
FUT12,45092.0,-25896156258.341373,-151096550.61536387,6491807010.076297,1000000000000000.0,1e-08,1.0
